scenario,workers,repeat,n_tasks,makespan,avg_latency,throughput
sequential,1,1,100,8.844775676727295,0.08844775676727296,11.306109239505503
sequential,1,2,100,8.843680381774902,0.08843680381774903,11.307509507702298
parallel,1,1,100,8.973875522613525,0.08872706174850464,11.143457444668933
parallel,1,2,100,8.961737632751465,0.08858726978302002,11.158550283210829
parallel,2,1,100,4.54729962348938,0.08867638826370239,21.991073445753017
parallel,2,2,100,4.575324535369873,0.08898936033248901,21.856373078443475
parallel,4,1,100,2.5308709144592285,0.08860037088394165,39.51209025663287
parallel,4,2,100,2.5334553718566895,0.08867183923721314,39.47178273233728
